State,State_Full,City,share_white,share_black,share_native_american,share_asian,share_hispanic,Population
AL,Alabama,Hammondville town,90.0,0.8,0.2,0.6,6.8,587.0
AL,Alabama,Hanceville city,92.4,3.6,0.2,0.7,2.4,3195.0
AL,Alabama,Harpersville town,73.1,23.5,0.3,0.7,2.6,1711.0
AL,Alabama,Hartford city,77.9,17.9,0.6,0.1,3.1,2645.0
AL,Alabama,Hartselle city,91.5,4.3,0.8,0.4,2.5,14455.0
AL,Alabama,Harvest CDP,62.2,31.7,0.5,1.2,3.1,5226.0
AL,Alabama,Hatton CDP,89.7,0.0,7.3,0.0,0.0,144.0
AL,Alabama,Hayden town,87.6,8.8,0.7,0.2,0.0,1186.0
AL,Alabama,Hayneville town,15.0,84.5,0.0,0.0,0.1,984.0
AL,Alabama,Hazel Green CDP,88.9,5.9,1.5,0.4,2.3,3266.0
AL,Alabama,Headland city,70.1,27.5,0.4,0.3,1.4,4685.0
AL,Alabama,Heath town,88.6,10.6,0.0,0.0,1.2,338.0
AL,Alabama,Heflin city,87.3,9.4,0.5,0.1,2.4,3504.0
AL,Alabama,Helena city,82.5,13.1,0.2,1.5,3.3,17589.0
AL,Alabama,Henagar city,96.2,0.0,1.8,0.0,1.4,2253.0
AL,Alabama,Highland Lake town,98.8,0.0,1.0,0.2,0.7,393.0
AL,Alabama,Highland Lakes CDP,87.6,7.6,0.2,2.3,1.6,4864.0
AL,Alabama,Hillsboro town,14.1,80.1,1.8,0.2,1.6,562.0
AL,Alabama,Hissop CDP,25.1,74.3,0.0,0.2,2.0,772.0
AL,Alabama,Hobson CDP,99.2,0.0,0.0,0.0,0.0,77.0
AL,Alabama,Hobson City town,12.6,85.9,0.0,0.4,1.3,998.0
AL,Alabama,Hodges town,98.6,0.0,1.4,0.0,1.0,308.0
AL,Alabama,Hokes Bluff city,98.5,0.3,0.1,0.4,0.2,4314.0
AL,Alabama,Hollins CDP,89.4,7.7,0.6,0.0,0.7,930.0
AL,Alabama,Hollis Crossroads CDP,86.0,5.4,0.3,0.0,8.4,714.0
AL,Alabama,Holly Pond town,98.5,0.3,0.4,0.0,1.4,1084.0
AL,Alabama,Hollywood town,75.8,14.8,1.7,0.3,4.9,971.0
AL,Alabama,Holt CDP,39.4,55.2,0.4,0.2,7.2,3652.0
AL,Alabama,Holtville CDP,90.4,7.4,0.5,0.2,1.3,4263.0
AL,Alabama,Homewood city,74.6,17.3,0.2,2.2,7.3,25535.0
AL,Alabama,Hoover city,75.1,14.8,0.2,5.1,6.0,83547.0
AL,Alabama,Horn Hill town,91.7,1.3,3.9,0.0,3.1,254.0
AL,Alabama,Hueytown city,70.0,27.2,0.3,0.5,2.0,15894.0
AL,Alabama,Huguley CDP,73.0,25.0,0.6,0.2,1.2,2373.0
AL,Alabama,Huntsville city,60.3,31.2,0.6,2.4,5.8,185594.0
AL,Alabama,Hurtsboro town,29.1,69.6,0.5,0.0,2.2,487.0
AL,Alabama,Hytop town,91.5,0.3,4.5,0.0,3.4,422.0
AL,Alabama,Ider town,93.2,0.6,4.0,0.0,0.1,887.0
AL,Alabama,Indian Springs Village city,95.7,1.5,0.2,1.9,0.9,2505.0
AL,Alabama,Irondale city,56.3,35.4,0.3,1.4,7.8,12398.0
AL,Alabama,Ivalee CDP,96.1,1.6,0.5,0.0,1.4,690.0
AL,Alabama,Jackson city,54.9,42.9,0.7,0.4,1.4,5055.0
AL,Alabama,Jacksons' Gap town,68.2,28.9,0.5,0.5,1.9,932.0
AL,Alabama,Jacksonville city,68.7,26.8,0.5,1.3,2.3,12372.0
AL,Alabama,Jasper city,81.3,13.4,0.3,0.7,4.4,14186.0
AL,Alabama,Jemison city,77.8,17.7,0.1,0.1,7.0,2627.0
AL,Alabama,Joppa CDP,81.4,0.2,0.8,0.0,17.2,263.0
AL,Alabama,Kansas town,100.0,0.0,0.0,0.0,0.0,186.0
AL,Alabama,Kellyton town,68.2,19.8,0.0,0.0,11.5,248.0
AL,Alabama,Kennedy town,83.4,14.3,0.0,0.2,0.9,412.0
AL,Alabama,Killen town,94.0,3.2,0.3,0.5,2.4,1177.0
AL,Alabama,Kimberly town,96.2,1.8,0.4,0.6,0.8,2799.0
AL,Alabama,Kinsey town,49.9,46.0,0.3,0.1,4.0,2275.0
AL,Alabama,Kinston town,95.6,0.2,2.0,0.6,0.9,563.0
AL,Alabama,Ladonia CDP,86.5,9.8,0.7,0.3,2.7,2840.0
AL,Alabama,La Fayette city,29.3,68.8,0.1,0.4,1.9,2989.0
AL,Alabama,Lakeview town,86.7,0.0,3.5,0.0,0.0,133.0
AL,Alabama,Lake View town,93.9,4.2,0.1,0.7,0.6,2417.0
AL,Alabama,Lanett city,39.3,57.5,0.2,0.1,2.4,6457.0
AL,Alabama,Langston town,94.4,1.1,0.0,0.0,0.0,211.0
